代码,名称,共振,组合,现价,昨收,涨跌幅,最高,最低,成交额万,换手率,PE_TTM,振幅,流通市值亿,总市值亿,PB,量比,时间,R5,R20,R60,MA5,MA20,MA60,多头排列,距MA20,距60日高,距年高,年内位置,RSI14,MACD柱,量能比,波动率20,最新K日
603065,宿迁联盛,1,龙头股,13.79,12.76,8.07,14.04,12.83,74072.0,12.92,-378.53,9.48,57.78,57.78,3.02,1.34,20260803161439,-11.32,-25.1,69.83,14.01,17.1,13.77,0.0,-19.37,-41.42,-41.42,40.0,21.0,-1.294,0.97,8.29,2026-08-03
603118,共进股份,2,龙头股+同花顺,13.18,14.51,-9.17,14.61,13.1,186224.0,17.26,129.81,10.41,103.76,103.76,2.05,0.85,20260803161453,-18.64,-1.79,-16.05,15.32,14.81,13.86,0.0,-10.99,-25.41,-25.41,34.4,46.2,-0.35,1.21,7.12,2026-08-03
603127,昭衍新药,2,龙头股+15Min,41.05,41.54,-1.18,43.28,40.42,143548.0,5.53,62.13,6.88,257.68,307.61,3.63,0.57,20260803161432,-17.4,-0.46,6.65,42.43,45.01,39.42,0.0,-8.8,-22.91,-22.91,54.6,43.2,-2.283,0.88,6.36,2026-08-03
603137,恒尚节能,1,龙头股,25.51,25.0,2.04,26.5,23.71,83658.0,18.13,-100.63,11.16,46.67,46.67,3.9,0.99,20260803161446,-9.92,34.69,92.53,25.21,26.74,17.89,0.0,-4.58,-28.36,-28.36,58.0,38.2,-1.442,1.17,8.4,2026-08-03
603221,爱丽家居,1,同花顺,22.54,22.54,0.0,0.0,0.0,0.0,0.0,-275.5,0.0,54.61,54.61,3.5,0.0,20260803161453,61.0,110.46,80.9,18.8,13.39,12.39,1.0,68.32,0.0,0.0,100.0,85.5,2.392,1.29,6.61,2026-07-31
603259,药明康德,1,15Min,128.5,128.43,0.05,132.38,126.15,801894.0,2.52,17.69,4.85,3178.17,3834.13,4.6,1.27,20260803161456,3.08,4.5,22.12,126.39,124.39,111.81,1.0,3.3,-2.28,-2.28,93.9,51.2,-0.825,0.84,3.37,2026-08-03
603296,华勤技术,1,龙头股,73.9,81.28,-9.08,81.8,73.7,273163.0,4.51,26.22,9.97,590.16,1120.47,4.4,1.04,20260803161443,-14.99,3.81,-11.88,80.36,80.32,77.67,0.0,-8.0,-16.85,-16.85,54.7,45.7,-1.266,0.86,5.35,2026-08-03
603619,中曼石油,1,同花顺,21.18,21.74,-2.58,21.43,20.56,78546.0,8.09,31.44,4.0,97.92,97.92,2.28,0.67,20260803161459,3.67,11.53,-27.02,21.55,20.24,23.06,0.0,4.62,-29.66,-54.85,11.8,51.7,0.741,1.16,5.91,2026-08-03
603629,利通电子,1,同花顺,93.1,96.01,-3.03,104.62,92.18,472744.0,13.34,63.89,12.96,335.83,341.42,15.89,1.45,20260803161438,-19.09,-24.56,-22.17,95.38,106.81,122.84,0.0,-12.84,-45.85,-45.85,49.5,41.0,-2.953,0.97,7.91,2026-08-03
603690,至纯科技,1,同花顺,21.2,21.7,-2.3,21.87,20.77,88281.0,10.88,-9.76,5.07,81.19,81.19,2.34,0.61,20260803161449,-14.79,-36.11,-16.96,23.19,26.09,28.34,0.0,-18.75,-42.23,-47.56,3.2,29.2,-0.703,1.53,5.95,2026-08-03
603698,航天工程,1,龙头股,21.83,21.46,1.72,22.1,21.36,39434.0,3.38,52.33,3.45,117.01,117.01,3.36,0.85,20260803161450,-1.49,-44.55,-51.57,21.3,28.48,33.77,0.0,-23.35,-50.76,-54.83,16.2,14.6,-1.03,0.75,6.16,2026-08-03
603823,百合花,2,15Min+同花顺,51.48,46.8,10.0,51.48,42.56,154255.0,7.68,130.63,19.06,214.35,214.35,8.75,2.55,20260803161433,-24.65,-21.83,197.23,52.98,66.95,46.89,0.0,-23.11,-37.17,-37.17,56.1,37.9,-8.236,0.67,7.06,2026-08-03
603881,数据港,1,龙头股,25.4,24.28,4.61,25.89,24.48,116918.0,5.39,157.01,5.81,218.96,218.96,6.55,1.49,20260803161445,3.76,10.58,-24.12,24.15,24.62,27.7,0.0,3.17,-29.73,-29.93,27.3,54.5,0.246,0.76,5.14,2026-08-03
603893,瑞芯微,1,龙头股,184.04,188.0,-2.11,197.91,182.0,405719.0,5.08,67.12,8.46,774.7,778.39,16.1,0.86,20260803161450,-15.58,4.5,3.22,191.47,206.78,188.92,0.0,-11.0,-19.58,-25.19,38.1,38.5,-9.096,0.83,5.67,2026-08-03
603928,兴业股份,2,龙头股+同花顺,10.37,10.61,-2.26,10.72,10.28,23298.0,6.58,29.36,4.15,35.33,35.33,2.23,0.62,20260803161500,-7.08,-34.57,-16.06,11.06,12.84,12.56,0.0,-19.23,-44.84,-44.84,1.5,25.2,-0.508,0.8,7.34,2026-08-03
603986,兆易创新,2,龙头股+同花顺,340.74,378.6,-10.0,370.0,340.74,2303272.0,9.83,83.18,7.73,2277.82,2391.13,9.66,0.86,20260803161440,-21.49,-47.92,2.22,369.02,487.45,523.04,0.0,-30.1,-59.44,-59.44,31.1,17.0,-34.709,1.15,6.47,2026-08-03
603993,洛阳钼业,1,同花顺,19.18,19.52,-1.74,19.52,18.95,306701.0,0.92,16.99,2.92,3348.99,4103.43,4.96,0.83,20260803161440,-0.93,4.75,-3.69,19.15,18.45,18.67,0.0,3.97,-11.41,-28.28,58.2,57.2,0.216,0.75,3.38,2026-08-03
605090,九丰能源,1,龙头股,32.46,31.88,1.82,32.75,31.67,36084.0,1.58,16.27,3.39,228.91,229.14,2.03,0.53,20260803161431,-0.28,-6.18,-24.55,31.72,34.9,37.03,0.0,-6.98,-31.45,-37.72,24.0,29.9,-0.704,0.58,5.37,2026-08-03
605358,立昂微,1,龙头股,35.86,37.1,-3.34,37.4,35.74,146762.0,5.24,-511.06,4.47,276.91,276.91,4.03,0.91,20260803161440,-17.2,-39.57,-28.04,37.64,47.51,57.45,0.0,-24.52,-55.0,-55.0,22.5,16.9,-1.923,0.84,5.73,2026-08-03
688008,澜起科技,1,同花顺,189.94,204.9,-7.3,203.58,189.78,916522.0,4.13,90.64,6.73,2174.37,2318.29,11.5,0.77,20260803161444,-16.35,-29.2,-9.5,200.95,227.13,247.79,0.0,-16.37,-39.8,-39.8,46.3,30.1,-6.783,0.86,8.32,2026-08-03
688012,中微公司,1,龙头股,309.85,344.0,-9.93,342.0,308.12,1131525.0,3.74,108.76,9.85,2919.4,2967.87,10.76,1.14,20260803161459,-22.49,-26.23,24.9,348.67,385.83,349.18,0.0,-19.69,-34.3,-34.3,54.1,32.7,-21.124,1.02,6.76,2026-08-03
688041,海光信息,1,龙头股,261.0,277.0,-5.78,277.9,259.4,643807.0,1.04,222.53,6.68,6066.52,6066.52,26.21,0.89,20260803161452,-16.77,-23.01,-19.23,278.74,318.36,315.84,0.0,-18.02,-29.52,-29.52,53.6,26.6,-15.87,0.87,3.97,2026-08-03
688082,盛美上海,1,龙头股,247.15,271.89,-9.1,271.88,245.91,161018.0,1.32,95.12,9.55,1179.93,1192.74,8.86,0.85,20260803161442,-19.33,-33.63,54.87,268.8,327.61,299.5,0.0,-24.56,-44.75,-44.75,40.1,24.8,-21.393,0.9,6.65,2026-08-03
688256,寒武纪,1,龙头股,1028.0,1106.0,-7.05,1105.0,1015.0,1459993.0,2.22,237.72,8.14,6458.85,6458.85,52.77,0.97,20260803161437,-17.16,-24.95,-13.07,1090.27,1269.51,1319.79,0.0,-19.02,-35.57,-35.57,52.6,28.7,-58.983,1.13,5.85,2026-08-03
688261,东微半导,1,龙头股,64.28,64.92,-0.99,66.2,63.8,24796.0,3.12,179.33,3.7,78.48,78.84,2.68,0.67,20260803161435,-10.05,-24.46,-16.2,65.4,76.17,84.2,0.0,-15.61,-38.7,-38.7,33.3,29.5,-1.923,0.58,8.62,2026-08-03
688262,国芯科技,1,龙头股,23.91,23.85,0.25,24.9,23.41,28811.0,3.58,-29.97,6.25,80.34,80.34,4.17,0.98,20260803161449,-5.19,-39.97,-40.92,23.69,30.99,36.12,0.0,-22.84,-48.7,-48.7,4.8,17.6,-1.139,0.63,7.02,2026-08-03
688347,华虹宏力,1,龙头股,219.5,237.9,-7.73,236.9,213.0,528998.0,5.87,773.05,10.05,895.01,3814.31,8.43,0.78,20260803161455,-28.83,-29.12,38.09,247.72,323.04,265.01,0.0,-32.05,-45.19,-45.19,47.9,29.6,-36.923,1.0,8.73,2026-08-03
688432,有研硅,1,龙头股,26.68,29.18,-8.57,29.04,26.05,154039.0,4.54,159.87,10.25,333.58,333.58,7.51,0.88,20260803161449,-33.28,-30.61,49.85,32.16,41.33,30.12,0.0,-35.45,-52.86,-52.86,33.9,27.3,-5.144,0.99,11.07,2026-08-03
688548,广钢气体,1,龙头股,29.23,31.46,-7.09,31.88,29.0,92213.0,4.46,120.14,9.15,202.04,385.66,6.41,0.76,20260803161437,-26.82,-35.15,5.98,32.32,38.97,35.57,0.0,-25.0,-46.85,-46.85,43.0,24.1,-2.843,0.84,6.21,2026-08-03
688629,华丰科技,1,龙头股,127.16,137.9,-7.79,138.44,125.8,237830.0,3.97,137.87,9.17,586.2,595.43,20.56,0.94,20260803161443,-16.88,-36.82,-6.87,131.48,163.77,153.18,0.0,-22.35,-39.36,-39.36,48.3,32.3,-10.583,0.8,7.86,2026-08-03
688702,盛科通信-U,1,龙头股,322.0,342.29,-5.93,360.0,310.51,334601.0,5.02,-869.83,14.46,653.63,1320.2,59.15,0.83,20260803161442,-15.59,-9.8,4.59,336.14,369.88,325.03,0.0,-12.94,-25.14,-25.14,70.5,43.3,-19.032,0.89,8.99,2026-08-03
688825,长鑫科技,1,同花顺,54.99,53.97,1.89,55.98,50.73,2998899.0,12.39,130.44,9.73,2476.22,36777.8,26.39,0.43,20260803161431,,,,,,,,,,,,,,,,
688981,中芯国际,2,龙头股+同花顺,116.5,123.99,-6.04,123.41,116.0,776631.0,3.27,197.67,5.98,2329.49,9973.34,5.24,0.95,20260803161433,-18.97,-19.09,-3.17,126.22,146.33,139.42,0.0,-20.39,-32.66,-32.66,34.6,24.4,-8.837,0.82,5.7,2026-08-03
920176,维琪科技,1,同花顺,70.8,66.0,7.27,72.6,61.77,23843.2,45.52,45.46,16.41,5.63,41.65,5.29,0.74,20260803153432,,,,,,,,,,,,,,,,
